,Short,Full,HTTP,Free float [%]
120,ENEA,ENEA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ENEA,0
121,ENELMED,Centrum Medyczne ENEL-MED SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ENELMED,0
122,ENERGA,Energa S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ENERGA,0
123,ENERGOINS,Energoinstal SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ENERGOINS,0
124,ENTER,Enter Air SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ENTER,0
125,ERBUD,Erbud SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ERBUD,0
126,ERG,ERG SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ERG,0
127,ESOTIQ,Esotiq & Henderson SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ESOTIQ,0
128,EUCO,Europejskie Centrum Odszkodowań SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EUCO,0
129,EUROCASH,Eurocash SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EUROCASH,0
130,EUROHOLD,EUROHOLD BULGARIA AD,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EUROHOLD,0
131,EUROTEL,Eurotel SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EUROTEL,0
132,FAMUR,Famur SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FAMUR,0
133,FASING,Fabryka Sprzętu i Narzędzi Górniczych Grupa Kapitałowa FASING SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FASING,0
134,FASTFIN,Fast Finance SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FASTFIN,0
135,FEERUM,Feerum S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FEERUM,0
136,FERRO,FERRO SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FERRO,0
137,FERRUM,Ferrum SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FERRUM,0
138,FMG,Financial Assets Management Group SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FMG,0
139,FON,FON SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FON,0
140,FORTE,Fabryka Mebli Forte SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FORTE,0
141,GAMEOPS,Games Operators SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GAMEOPS,0
142,GAMFACTOR,GAMING FACTORY,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GAMFACTOR,0
143,GAMFACTOR-PDA,GAMING FACTORY PDA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GAMFACTOR-PDA,0
144,GETIN,Getin Holding SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GETIN,0
145,GETINOBLE,Getin Noble Bank SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GETINOBLE,0
146,GLCOSMED,Global Cosmed S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GLCOSMED,0
147,GOBARTO,Gobarto SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GOBARTO,0
